SSEC,SCI,FTSE100,DAX30,CAC40
2358.98,9704.66,6047.34,7604.94,3638.1
2382.48,9783.84,6089.84,7653.58,3648.63
2385.42,9667.67,6064.58,7668.5,3664.59
2419.02,9820.29,6053.63,7672.1,3666.73
2428.15,9760.83,6098.65,7636.23,3661.4
2433.13,9945.98,6101.51,7655.88,3652.61
2434.48,9922.72,6121.58,7612.39,3674.26
2418.53,9904.78,6107.86,7778.78,3620.25
2432.4,9989.09,6117.31,7756.44,3641.07
2421.56,9795.91,6103.98,7776.37,3733.93
2382.91,9550.93,6132.36,7732.66,3721.17
2397.18,9645.87,6154.41,7695.83,3730.02
2325.95,9396.11,6180.98,7720.47,3704.64
2314.16,9364.54,6179.17,7708.47,3705.88
2325.82,9342.37,6197.64,7715.53,3717.45
2293.34,9208.03,6264.91,7729.52,3703.12
2313.22,9333.24,6284.45,7675.91,3706.02
2365.59,9641.44,6294.41,7691.13,3708.25
2359.51,9650.14,6339.19,7735.46,3697.35
2273.4,9139.75,6323.11,7702.23,3708.49
2326.31,9341.35,6276.88,7748.86,3744.11
2347.18,9431.17,6347.24,7696.21,3741.58
2324.29,9393.69,6246.84,7707.54,3763.03
2318.61,9285.83,6282.76,7748.13,3741.01
2310.59,9277.16,6295.34,7857.97,3726.17
2286.6,9163.64,6228.42,7833,3752.17
2263.97,9073.22,6263.93,7848.57,3778.16
2270.28,9087.25,6277.06,7811.31,3780.89
2278.4,9099.29,6338.38,7776.05,3785.82
2240.02,8999.02,6359.11,7833.39,3765.52
2257.43,9034.04,6327.36,7638.23,3732.6
2317.37,9317.97,6328.26,7664.66,3773.53
2324.24,9326.29,6318.19,7581.18,3659.91
2328.28,9343.41,6379.07,7590.85,3694.7
2326.72,9313.13,6395.37,7652.14,3642.9
2297.67,9226.64,6291.54,7633.74,3601.05
2301.26,9225.13,6335.7,7660.19,3649.5
2236.3,8959.26,6355.37,7711.89,3650.58
2236.62,8889.77,6270.44,7631.19,3686.58
2234.4,8937.75,6325.88,7593.51,3698.53
2227.74,8960.46,6360.81,7628.73,3669.6
2225.29,8964.47,6378.6,7752.45,3660.37
2211.59,8953.84,6345.63,7728.9,3667.04
2225.77,8993.11,6431.95,7583.57,3735.82
2226.13,8962.3,6427.64,7661.91,3709.88
2219.55,8920.71,6439.16,7773.19,3624.8
2206.78,8835.15,6483.58,7597.11,3706.28
2181.94,8733.44,6503.63,7675.83,3721.33
2194.85,8852.42,6510.62,7741.7,3621.92
2193.8,8894.37,6481.5,7708.16,3691.49
2197.6,8888.02,6529.41,7691.68,3723
2244.64,9111.19,6489.65,7870.31,3699.91
2242.17,9057.62,6457.92,7919.33,3709.76
